source,target,optional,kind
acme,cryptography,False,runtime
acme,josepy,False,runtime
acme,pyopenssl,False,runtime
acme,pyrfc3339,False,runtime
acme,pytz,False,runtime
acme,requests,False,runtime
acme,sphinx,True,optional
acme,sphinx_rtd_theme,True,optional
acme,pytest,True,optional
acme,pytest-xdist,True,optional
acme,typing-extensions,True,optional
cryptography,sphinx,True,optional
cryptography,pyenchant,True,optional
cryptography,readme-renderer,True,optional
cryptography,sphinxcontrib-spelling,True,optional
cryptography,nox,True,optional
cryptography,click,True,optional
cryptography,mypy,True,optional
cryptography,ruff,True,optional
cryptography,build,True,optional
cryptography,bcrypt,True,optional
cryptography,pytest-randomly,True,optional
cryptography,certifi,True,optional
cryptography,cryptography-vectors,True,optional
cryptography,pretend,True,optional
cryptography,pytest,True,optional
cryptography,pytest-benchmark,True,optional
cryptography,pytest-cov,True,optional
cryptography,pytest-xdist,True,optional
cryptography,cffi,True,optional
cryptography,check-sdist,True,optional
cryptography,nox[uv],True,optional
cryptography,sphinx-inline-tabs,True,optional
cryptography,sphinx-rtd-theme,True,optional
pyopenssl,cryptography,False,runtime
pyopenssl,sphinx,True,optional
pyopenssl,sphinx_rtd_theme,True,optional
pyopenssl,pretend,True,optional
pyopenssl,pytest,True,optional
pyopenssl,pytest-rerunfailures,True,optional
pyopenssl,typing-extensions,True,optional
requests,certifi,False,runtime
requests,charset_normalizer,False,runtime
requests,idna,False,runtime
requests,urllib3,False,runtime
requests,pysocks,True,optional
requests,chardet,True,optional
pytest,iniconfig,False,runtime
pytest,packaging,False,runtime
pytest,pluggy,False,runtime
pytest,pygments,False,runtime
pytest,argcomplete,True,optional
pytest,attrs,True,optional
pytest,hypothesis,True,optional
pytest,mock,True,optional
pytest,requests,True,optional
pytest,setuptools,True,optional
pytest,xmlschema,True,optional
pytest,colorama,True,optional
pytest,exceptiongroup,True,optional
pytest,tomli,True,optional
aiobotocore,aiohttp,False,runtime
aiobotocore,aioitertools,False,runtime
aiobotocore,botocore,False,runtime
aiobotocore,wrapt,False,runtime
aiobotocore,awscli,True,optional
aiobotocore,boto3,True,optional
aiohttp,async-timeout,False,runtime
aiohttp,attrs,False,runtime
aiohttp,chardet,False,runtime
aiohttp,multidict,False,runtime
aiohttp,typing-extensions,False,runtime
aiohttp,yarl,False,runtime
aiohttp,aiodns,True,optional
aiohttp,brotli,True,optional
aiohttp,cchardet,True,optional
aiohttp,idna-ssl,True,optional
botocore,jmespath,False,runtime
botocore,python-dateutil,False,runtime
botocore,urllib3,False,runtime
botocore,awscrt,True,optional
awscli,botocore,False,runtime
awscli,colorama,False,runtime
awscli,docutils,False,runtime
awscli,pyyaml,False,runtime
awscli,rsa,False,runtime
awscli,s3transfer,False,runtime
boto3,botocore,True,optional
boto3,jmespath,False,runtime
boto3,s3transfer,False,runtime
attrs,hypothesis,True,optional
attrs,pympler,True,optional
attrs,pytest,True,optional
attrs,pytest-codspeed,True,optional
attrs,pytest-xdist[psutil],True,optional
attrs,coverage[toml],True,optional
attrs,pre-commit-uv,True,optional
attrs,cogapp,True,optional
attrs,furo,True,optional
attrs,myst-parser,True,optional
attrs,sphinx,True,optional
attrs,sphinx-notfound-page,True,optional
attrs,sphinxcontrib-towncrier,True,optional
attrs,towncrier,True,optional
attrs,cloudpickle,True,optional
attrs,mypy,True,optional
attrs,pytest-mypy-plugins,True,optional
multidict,typing-extensions,True,optional
yarl,idna,False,runtime
yarl,multidict,False,runtime
aiosignal,frozenlist,False,runtime
aiosignal,typing-extensions,True,optional
alembic,mako,False,runtime
alembic,sqlalchemy,False,runtime
alembic,tomli,False,runtime
alembic,typing-extensions,False,runtime
alembic,tzdata,True,optional
sqlalchemy,greenlet,True,optional
sqlalchemy,importlib-metadata,False,runtime
sqlalchemy,typing-extensions,False,runtime
sqlalchemy,aiomysql,True,optional
sqlalchemy,aioodbc,True,optional
sqlalchemy,aiosqlite,True,optional
sqlalchemy,typing_extensions,True,optional
sqlalchemy,asyncmy,True,optional
sqlalchemy,mariadb,True,optional
sqlalchemy,pymssql,True,optional
sqlalchemy,pyodbc,True,optional
sqlalchemy,mypy,True,optional
sqlalchemy,mysql-connector-python,True,optional
sqlalchemy,mysqlclient,True,optional
sqlalchemy,oracledb,True,optional
sqlalchemy,cx_oracle,True,optional
sqlalchemy,asyncpg,True,optional
sqlalchemy,pg8000,True,optional
sqlalchemy,psycopg2-binary,True,optional
sqlalchemy,psycopg2cffi,True,optional
sqlalchemy,psycopg,True,optional
sqlalchemy,psycopg2,True,optional
sqlalchemy,pymysql,True,optional
sqlalchemy,sqlcipher3_binary,True,optional
aliyun-python-sdk-core,pycryptodome,False,runtime
annotated-types,typing-extensions,True,optional
anyio,idna,False,runtime
anyio,sniffio,False,runtime
anyio,packaging,True,optional
anyio,sphinx,True,optional
anyio,sphinx-autodoc-typehints,True,optional
anyio,sphinx_rtd_theme,True,optional
anyio,anyio[trio],True,optional
anyio,blockbuster,True,optional
anyio,coverage[toml],True,optional
anyio,exceptiongroup,True,optional
anyio,hypothesis,True,optional
anyio,psutil,True,optional
anyio,pytest,True,optional
anyio,trustme,True,optional
anyio,trio,True,optional
anyio,truststore,True,optional
anyio,typing_extensions,True,optional
anyio,uvloop,True,optional
idna,flake8,True,optional
idna,mypy,True,optional
idna,pytest,True,optional
idna,ruff,True,optional
exceptiongroup,pytest,True,optional
exceptiongroup,typing-extensions,True,optional
psutil,abi3audit,True,optional
psutil,black,True,optional
psutil,check-manifest,True,optional
psutil,coverage,True,optional
psutil,packaging,True,optional
psutil,pylint,True,optional
psutil,pyperf,True,optional
psutil,pypinfo,True,optional
psutil,pytest,True,optional
psutil,pytest-cov,True,optional
psutil,pytest-xdist,True,optional
psutil,requests,True,optional
psutil,rstcheck,True,optional
psutil,ruff,True,optional
psutil,setuptools,True,optional
psutil,sphinx,True,optional
psutil,sphinx_rtd_theme,True,optional
psutil,toml-sort,True,optional
psutil,twine,True,optional
psutil,virtualenv,True,optional
psutil,vulture,True,optional
psutil,wheel,True,optional
rsa,pyasn1,False,runtime
s3transfer,botocore,False,runtime
s3transfer,botocore[crt],True,optional
awswrangler,boto3,False,runtime
awswrangler,botocore,False,runtime
awswrangler,packaging,False,runtime
awswrangler,pyarrow,False,runtime
awswrangler,typing-extensions,False,runtime
awswrangler,deltalake,True,optional
awswrangler,aiohttp,True,optional
awswrangler,async-timeout,True,optional
awswrangler,gremlinpython,True,optional
awswrangler,requests,True,optional
awswrangler,pymysql,True,optional
awswrangler,openpyxl,True,optional
awswrangler,jsonpath-ng,True,optional
awswrangler,opensearch-py,True,optional
awswrangler,requests-aws4auth,True,optional
awswrangler,oracledb,True,optional
awswrangler,pg8000,True,optional
awswrangler,progressbar2,True,optional
awswrangler,"ray[data,default]",True,optional
awswrangler,redshift-connector,True,optional
awswrangler,sparqlwrapper,True,optional
awswrangler,pyodbc,True,optional
awswrangler,geopandas,True,optional
awswrangler,modin,True,optional
awswrangler,numpy,True,optional
awswrangler,pandas,True,optional
awswrangler,setuptools,True,optional
pyarrow,numpy,False,runtime
openpyxl,et-xmlfile,False,runtime
pandas,python-dateutil,False,runtime
pandas,pytz,False,runtime
pandas,tzdata,False,runtime
pandas,adbc-driver-postgresql,True,optional
pandas,adbc-driver-sqlite,True,optional
pandas,beautifulsoup4,True,optional
pandas,bottleneck,True,optional
pandas,dataframe-api-compat,True,optional
pandas,fastparquet,True,optional
pandas,fsspec,True,optional
pandas,gcsfs,True,optional
pandas,html5lib,True,optional
pandas,hypothesis,True,optional
pandas,jinja2,True,optional
pandas,lxml,True,optional
pandas,matplotlib,True,optional
pandas,numba,True,optional
pandas,numexpr,True,optional
pandas,odfpy,True,optional
pandas,openpyxl,True,optional
pandas,pandas-gbq,True,optional
pandas,psycopg2,True,optional
pandas,pyarrow,True,optional
pandas,pymysql,True,optional
pandas,pyqt5,True,optional
pandas,pyreadstat,True,optional
pandas,pytest,True,optional
pandas,pytest-xdist,True,optional
pandas,python-calamine,True,optional
pandas,pyxlsb,True,optional
pandas,qtpy,True,optional
pandas,s3fs,True,optional
pandas,scipy,True,optional
pandas,sqlalchemy,True,optional
pandas,tables,True,optional
pandas,tabulate,True,optional
pandas,xarray,True,optional
pandas,xlrd,True,optional
pandas,xlsxwriter,True,optional
pandas,zstandard,True,optional
pandas,numpy,True,optional
setuptools,pytest-checkdocs,True,optional
setuptools,pytest-ruff,True,optional
setuptools,ruff,True,optional
setuptools,importlib_metadata,True,optional
setuptools,jaraco.functools,True,optional
setuptools,jaraco.text,True,optional
setuptools,more_itertools,True,optional
setuptools,packaging,True,optional
setuptools,platformdirs,True,optional
setuptools,tomli,True,optional
setuptools,wheel,True,optional
setuptools,pytest-cov,True,optional
setuptools,furo,True,optional
setuptools,jaraco.packaging,True,optional
setuptools,jaraco.tidelift,True,optional
setuptools,pygments-github-lexers,True,optional
setuptools,pyproject-hooks,True,optional
setuptools,rst.linker,True,optional
setuptools,sphinx,True,optional
setuptools,sphinx-favicon,True,optional
setuptools,sphinx-inline-tabs,True,optional
setuptools,sphinx-lint,True,optional
setuptools,sphinx-notfound-page,True,optional
setuptools,sphinx-reredirects,True,optional
setuptools,sphinxcontrib-towncrier,True,optional
setuptools,towncrier,True,optional
setuptools,pytest-enabler,True,optional
setuptools,build,True,optional
setuptools,filelock,True,optional
setuptools,ini2toml,True,optional
setuptools,jaraco.develop,True,optional
setuptools,jaraco.envs,True,optional
setuptools,jaraco.path,True,optional
setuptools,jaraco.test,True,optional
setuptools,pip,True,optional
setuptools,pytest,True,optional
setuptools,pytest-home,True,optional
setuptools,pytest-perf,True,optional
setuptools,pytest-subprocess,True,optional
setuptools,pytest-timeout,True,optional
setuptools,pytest-xdist,True,optional
setuptools,tomli-w,True,optional
setuptools,virtualenv,True,optional
setuptools,mypy,True,optional
setuptools,pytest-mypy,True,optional
azure-core,requests,False,runtime
